
Rk,Player,Tm,Age,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
418,Michael Higgins,NOR,24,2,0,1,1,4,4.0,0,4,0.5,2.0,0
419,Reggie Kelly,ATL,34,16,2,2,1,7,7.0,0,7,0.1,0.4,0
420,Jim Kleinsasser,MIN,34,16,11,6,1,4,4.0,0,4,0.1,0.3,0
421,Dion Lewis,PHI,21,15,0,1,1,-3,-3.0,0,-3,0.1,-0.2,1
422,Stefan Logan,DET,30,16,1,1,1,19,19.0,0,19,0.1,1.2,6
423,Ryan Mahaffey,IND,24,5,0,1,1,5,5.0,0,5,0.2,1.0,0
424,Steve Maneri,KAN,23,6,1,2,1,1,1.0,0,1,0.2,0.2,0
425,Jeron Mastrud,MIA,24,14,3,2,1,8,8.0,0,8,0.1,0.6,0
426,Reagan Maui'a,ARI,27,3,3,1,1,12,12.0,0,12,0.3,4.0,0
427,Colt McCoy,CLE,25,13,13,1,1,-5,-5.0,0,-5,0.1,-0.4,11
428,Corey McIntyre,BUF,32,16,1,1,1,4,4.0,0,4,0.1,0.3,0
429,Nick Miller,2TM,24,8,0,1,1,8,8.0,0,8,0.1,1.0,0
430,Ryan Mundy,PIT,26,16,0,1,1,33,33.0,0,33,0.1,2.1,0
431,Cam Newton*,CAR,22,16,16,1,1,27,27.0,0,27,0.1,1.7,5
432,Roscoe Parrish,BUF,29,2,2,4,1,16,16.0,0,16,0.5,8.0,0
433,Justin Peelle,SFO,32,14,2,4,1,19,19.0,0,19,0.1,1.4,0
434,Patrick Peterson*+,ARI,21,16,16,1,1,-1,-1.0,0,-1,0.1,-0.1,4
435,Bilal Powell,NYJ,23,2,0,1,1,7,7.0,0,7,0.5,3.5,1
436,Allen Reisner,MIN,23,6,0,1,1,5,5.0,0,5,0.2,0.8,0
437,Mike Sellers,WAS,36,12,0,2,1,15,15.0,0,15,0.1,1.3,0
438,Matt Slater*,NWE,26,16,3,3,1,46,46.0,0,46,0.1,2.9,1
439,Matt Slauson,NYJ,25,16,16,1,1,1,1.0,0,1,0.1,0.1,0
440,Isaac Sopoaga,SFO,30,15,15,1,1,18,18.0,0,18,0.1,1.2,0
441,Kory Sperry,SDG,26,16,4,5,1,32,32.0,0,32,0.1,2.0,0
442,Joe Staley*,SFO,27,16,16,1,1,17,17.0,0,17,0.1,1.1,0
443,Brandon Stokley,NYG,35,2,0,3,1,7,7.0,0,7,0.5,3.5,0
444,Maurice Stovall,DET,26,15,0,3,1,8,8.0,0,8,0.1,0.5,0
445,Ryan Taylor,GNB,24,15,0,1,1,4,4.0,1,4,0.1,0.3,0
446,Julius Thomas,DEN,23,5,1,7,1,5,5.0,0,5,0.2,1.0,0
447,Seneca Wallace,CLE,31,6,3,1,1,21,21.0,0,21,0.2,3.5,1
448,Joe Webb,MIN,25,11,1,5,1,9,9.0,0,9,0.1,0.8,1
449,Guy Whimper,JAX,28,15,15,1,1,17,17.0,0,17,0.1,1.1,0
450,Johnny White,BUF,23,12,0,4,1,-3,-3.0,0,-3,0.1,-0.3,0
451,Eddie Williams,3TM,24,13,7,1,1,17,17.0,0,17,0.1,1.3,0
