
,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
457,Ben Hartsock,CAR,32,15,5,0,0,0,0,0,0,0,,0,3,2,30,15.00,0,WR,3,,177,
458,Jerrel Jernigan,NYG,23,9,0,0,0,0,0,0,1,6,6.00,0,5,3,22,7.33,0,WR,3,,178,
459,Eric Weems,CHI,27,16,1,0,0,0,0,0,0,0,,0,4,2,27,13.50,0,WR,3,,179,
460,Kris Adams,IND,25,3,0,0,0,0,0,0,0,0,,0,8,2,26,13.00,0,WR,3,,181,
461,T.J. Yates,HOU,25,4,0,4,10,38,0,1,2,-1,-0.50,1,0,0,0,,0,QB,3,,54,
462,Jarrett Boykin,GNB,23,10,0,0,0,0,0,0,0,0,,0,6,5,27,5.40,0,WR,3,,180,
463,Chase Daniel,NOR,26,16,0,1,1,10,0,0,3,17,5.67,0,0,0,0,,0,QB,2,,59,
464,Mardy Gilyard,2TM,26,8,0,0,0,0,0,0,0,0,,0,6,2,15,7.50,0,WR,2,,184,
465,Weslye Saunders,IND,23,11,4,0,0,0,0,0,0,0,,0,4,2,15,7.50,0,TE,2,,79,
466,Evan Rodriguez,CHI,24,12,5,0,0,0,0,0,0,0,,0,8,4,21,5.25,0,TE,2,,76,
467,Cory Harkey,STL,22,5,0,0,0,0,0,0,0,0,,0,2,1,21,21.00,0,TE,2,,75,
468,Jake O'Connell,KAN,27,8,0,0,0,0,0,0,0,0,,0,3,3,18,6.00,0,TE,2,,77,
469,Kregg Lumpkin,NYG,28,5,0,0,0,0,0,0,9,42,4.67,0,2,0,0,,0,RB,2,,152,
470,Collin Mooney,TEN,26,2,0,0,0,0,0,0,5,19,3.80,0,0,0,0,,0,RB,2,,154,
471,Hayden Smith,NYJ,27,5,0,0,0,0,0,0,0,0,,0,1,1,16,16.00,0,TE,2,,78,
472,Chris Owusu,TAM,22,5,0,0,0,0,0,0,0,0,,0,4,1,24,24.00,0,WR,2,,182,
473,Jim Dray,ARI,26,13,0,0,0,0,0,0,0,0,,0,2,2,15,7.50,0,TE,2,,80,
474,Alfonso Smith,ARI,25,11,0,0,0,0,0,0,0,0,,0,3,2,21,10.50,0,RB,2,,153,
475,Matt Flynn,SEA,27,3,0,5,9,68,0,0,4,-5,-1.25,0,0,0,0,,0,QB,2,,58,
476,Dezmon Briscoe,WAS,23,7,0,0,0,0,0,0,1,1,1.00,0,5,2,22,11.00,0,WR,2,,183,
477,Dan Orlovsky,TAM,29,1,0,4,7,51,0,0,0,0,,0,0,0,0,,0,QB,2,,60,
478,Bruce Gradkowski,CIN,29,3,0,5,11,65,0,0,4,-2,-0.50,0,0,0,0,,0,QB,2,,56,
479,Derek Anderson,CAR,29,2,0,4,4,58,0,0,0,0,,0,0,0,0,,0,QB,2,,57,
480,Kellen Winslow,NWE,29,1,0,0,0,0,0,0,0,0,,0,2,1,12,12.00,0,TE,1,,82,
481,Keiland Williams,2TM,26,14,0,0,0,0,0,0,2,3,1.50,0,,2,9,4.50,0,RB,1,,156,
482,Shaun Chapas,DET,24,3,1,0,0,0,0,0,0,0,,0,2,1,6,6.00,0,RB,1,,166,
483,David Gilreath,PIT,24,3,0,0,0,0,0,0,1,7,7.00,0,2,0,0,,0,WR,1,,192,
484,Stefan Logan,DET,31,16,0,0,0,0,0,0,3,17,5.67,0,7,6,28,4.67,0,RB,1,,167,
485,Dan Herron,CIN,23,3,0,0,0,0,0,0,4,5,1.25,0,1,0,0,,0,RB,1,,168,
486,Will Ta'ufo'ou,JAX,26,6,1,0,0,0,0,0,0,0,,0,1,1,5,5.00,0,RB,1,,169,
487,Austin Collie,IND,27,1,0,0,0,0,0,0,0,0,,0,1,1,6,6.00,0,WR,1,,195,
488,Allen Reisner,2TM,24,6,2,0,0,0,0,0,0,0,,0,,1,13,13.00,0,TE,1,,81,
489,Preston Parker,TAM,25,2,0,0,0,0,0,0,1,7,7.00,0,2,0,0,,0,WR,1,,193,
490,Ryan Taylor,GNB,25,16,1,0,0,0,0,0,0,0,,0,1,1,11,11.00,0,TE,1,,84,
491,Tommy Gallarda,ATL,24,9,0,0,0,0,0,0,0,0,,0,4,1,7,7.00,0,TE,1,,87,
492,Chris Cooley,WAS,30,9,2,0,0,0,0,0,0,0,,0,3,1,8,8.00,0,TE,1,,85,
493,Anthony Armstrong,2TM,29,6,0,0,0,0,0,0,0,0,,0,,3,12,4.00,0,WR,1,,187,
494,Dominique Jones,IND,25,4,1,0,0,0,0,0,0,0,,0,1,1,8,8.00,0,TE,1,,86,
495,Dane Sanzenbacher,2TM,24,7,2,0,0,0,0,0,0,0,,0,,1,7,7.00,0,WR,1,,191,
496,Isaiah Stanback,JAX,28,2,0,0,0,0,0,0,0,0,,0,1,1,6,6.00,0,WR,1,,194,
497,Chase Coffman,ATL,26,5,0,0,0,0,0,0,0,0,,0,1,1,11,11.00,0,TE,1,,83,
498,Sammie Stroughter,TAM,26,3,0,0,0,0,0,0,0,0,,0,2,1,14,14.00,0,WR,1,,185,
499,Jordan White,NYJ,24,3,0,0,0,0,0,0,0,0,,0,3,1,13,13.00,0,WR,1,,186,
500,Zach Potter,JAX,26,16,5,0,0,0,0,0,0,0,,0,7,2,6,3.00,0,TE,1,,88,
501,Andre Holmes,DAL,24,7,0,0,0,0,0,0,0,0,,0,2,2,11,5.50,0,WR,1,,188,
502,Courtney Roby,NOR,29,13,0,0,0,0,0,0,0,0,,0,2,1,9,9.00,0,WR,1,,189,
503,LaRon Byrd,ARI,23,4,0,0,0,0,0,0,0,0,,0,2,1,8,8.00,0,WR,1,,190,
504,Evan Moore,2TM,27,15,1,0,0,0,0,0,0,0,,0,8,1,6,6.00,0,TE,1,,89,
505,Brandon Jacobs,SFO,30,2,0,0,0,0,0,0,5,7,1.40,0,0,0,0,,0,RB,1,,165,
506,Tyler Thigpen,BUF,28,4,0,3,5,30,0,0,1,-1,-1.00,0,0,0,0,,0,QB,1,,62,
507,Trent Edwards,PHI,29,1,0,2,2,14,0,0,0,0,,0,1,0,0,,0,QB,1,,63,
508,Jonathan Grimes,3TM,23,11,2,0,0,0,0,0,2,6,3.00,0,,2,7,3.50,0,RB,1,,155,
509,Chris Gronkowski,DEN,26,14,0,0,0,0,0,0,0,0,,0,1,1,11,11.00,0,RB,1,,158,
510,Matt Asiata,MIN,25,16,0,0,0,0,0,0,3,9,3.00,0,1,1,2,2.00,0,RB,1,,157,
511,Da'Rel Scott,NYG,24,4,0,0,0,0,0,0,6,9,1.50,0,0,0,0,,0,RB,1,,159,
512,Corey McIntyre,BUF,33,16,3,0,0,0,0,0,0,0,,0,2,1,9,9.00,0,RB,1,,160,
513,Lousaka Polite,ATL,31,6,5,0,0,0,0,0,0,0,,0,7,1,8,8.00,0,RB,1,,162,
514,Jordan Todman,JAX,22,1,0,0,0,0,0,0,3,8,2.67,0,1,1,0,0.00,0,RB,1,,161,
515,Robert Hughes,IND,23,5,1,0,0,0,0,0,1,5,5.00,0,1,1,3,3.00,0,RB,1,,163,
516,Reagan Maui'a,ARI,28,3,1,0,0,0,0,0,0,0,,0,,1,7,7.00,0,RB,1,,164,
517,Rusty Smith,TEN,25,1,0,3,5,34,0,0,0,0,,0,0,0,0,,0,QB,1,,61,
518,Joe Webb,MIN,26,1,0,0,0,0,0,0,1,-1,-1.00,0,0,0,0,,0,QB,,,77,
519,Greg Salas,2TM,24,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,WR,,,213,
520,Luke McCown,ATL,31,2,0,0,0,0,0,0,2,-3,-1.50,0,0,0,0,,0,QB,,,78,
521,Jeff Maehl,HOU,23,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,196,
522,Rex Grossman,WAS,32,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,71,
523,Marvin McNutt,PHI,23,4,0,0,0,0,0,0,0,0,,0,2,0,0,,0,WR,,,206,
524,Dennis Dixon,BAL,27,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,66,
525,Jimmy Clausen,CAR,25,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,70,
526,Dominique Davis,ATL,23,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,QB,,,68,
527,Josh McCown,CHI,33,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,67,
528,Taylor Price,JAX,25,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,218,
529,Kamar Aiken,NWE,23,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,WR,,,220,
530,Jeremy Ross,GNB,24,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,WR,,,228,
531,Cameron Morrah,SEA,25,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,102,
532,Elbert Mack,NOR,26,7,2,0,0,0,0,0,0,0,,0,0,0,0,,0,WR,,,211,
533,Richard Goodman,SDG,25,7,0,0,0,0,0,0,0,0,,0,2,0,0,,0,WR,,,205,
534,Duke Calhoun,OAK,25,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,230,
535,Kevin Cone,ATL,24,12,0,0,0,0,0,0,0,0,,0,1,0,0,,0,WR,,,202,
536,Dominique Curry,DET,25,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,201,
537,Lance Long,DET,27,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,210,
538,Josh Bellamy,KAN,23,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,WR,,,225,
539,Matt Slater*,NWE,27,16,0,0,0,0,0,0,0,0,,0,0,0,0,,0,WR,,,217,
540,Caleb Hanie,DEN,27,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,76,
541,James-Michael Johnson,CLE,23,11,8,0,0,0,0,0,0,0,,0,0,0,0,,0,QB,,,73,
542,Tarvaris Jackson,BUF,29,0,0,0,0,0,0,0,0,0,,0,,0,0,,0,QB,,,69,
543,Riley Reiff,DET,24,16,8,0,0,0,0,0,0,0,,0,0,0,0,,0,TE,,,96,
544,Donald Stephenson,KAN,24,16,7,0,0,0,0,0,0,0,,0,0,0,0,,0,TE,,,121,
545,Jordan Palmer,JAX,28,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,75,
546,Brian Jennings,SFO,36,16,0,0,0,0,0,0,0,0,,0,,0,0,,0,TE,,,91,
547,Brad Smelley,CLE,23,2,0,0,0,0,0,0,0,0,,0,1,1,3,3.00,0,TE,,,90,
548,Drew Stanton,IND,28,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,74,
549,David Carr,NYG,33,2,0,2,3,19,0,0,3,-3,-1.00,0,0,0,0,,0,QB,,,64,
550,Andrew Quarless,GNB,24,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,104,
551,Kellen Clemens,STL,29,2,0,1,3,39,0,1,2,5,2.50,0,0,0,0,,0,QB,,,65,
552,Visanthe Shiancoe,NWE,32,4,0,0,0,0,0,0,0,0,,0,1,0,0,,0,TE,,,113,
553,Nathan Palmer,IND,23,5,0,0,0,0,0,0,0,0,,0,4,1,-4,-4.00,0,WR,,,233,
554,Trindon Holliday,2TM,26,15,0,0,0,0,0,0,0,0,,0,2,2,17,8.50,0,WR,,,232,
555,Junior Hemingway,KAN,24,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,WR,,,215,
556,Quan Cosby,JAX,30,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,WR,,,224,
557,George Wilson,BUF,31,16,16,0,0,0,0,0,0,0,,0,0,0,0,,0,WR,,,229,
558,Charlie Whitehurst,SDG,30,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,72,
559,Kerry Meier,ATL,26,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,207,
560,Ricardo Lockette,SFO,26,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,212,
561,LaQuan Williams,BAL,24,11,0,0,0,0,0,0,0,0,,0,0,0,0,,0,WR,,,214,
562,Legedu Naanee,MIA,29,4,1,0,0,0,0,0,0,0,,0,5,1,19,19.00,0,WR,,,231,
563,Jake Ballard,NWE,25,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,110,
564,Chad Hall,SFO,26,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,,226,
565,Adrian Arrington,NOR,27,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,209,
566,Michael Higgins,NOR,25,2,1,0,0,0,0,0,0,0,,0,1,1,-3,-3.00,0,TE,,,125,
567,Dennis Roland,CIN,29,16,2,0,0,0,0,0,0,0,,0,0,0,0,,0,TE,,,108,
568,Nate Solder,NWE,24,16,16,0,0,0,0,0,0,0,,0,0,0,0,,0,TE,,,115,
569,Richie Brockel,CAR,26,16,0,0,0,0,0,0,0,0,,0,1,0,0,,0,TE,,,123,
570,Richard Quinn,CIN,26,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,106,
571,Kyle Miller,2TM,24,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,TE,,,101,
572,Will Yeatman,MIA,24,4,0,0,0,0,0,0,0,0,,0,,0,0,,0,TE,,,124,
573,Jonathan Scott,CHI,29,12,7,0,0,0,0,0,0,0,,0,0,0,0,,0,TE,,,94,
574,Mickey Shuler,OAK,26,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,122,
575,Travis Beckum,NYG,25,4,0,0,0,0,0,0,0,0,,0,1,0,0,,0,TE,,,114,
576,Michael Egnew,MIA,23,2,0,0,0,0,0,0,0,0,,0,,0,0,,0,TE,,,118,
577,Danny Noble,TAM,23,4,0,0,0,0,0,0,0,0,,0,,0,0,,0,TE,,,107,
578,Marcus Thigpen,MIA,26,16,0,0,0,0,0,0,1,8,8.00,0,2,1,15,15.00,0,RB,,,170,
579,Owen Schmitt,OAK,27,13,4,0,0,0,0,0,2,1,0.50,0,0,0,0,,0,RB,,,171,
580,John Griffin,NYJ,24,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,RB,,,181,
581,Deji Karim,IND,26,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,RB,,,183,
582,Jeremiah Johnson,DEN,25,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,174,
583,Sean McGrath,SEA,25,2,0,0,0,0,0,0,0,0,,0,,0,0,,0,TE,,,109,
584,Jeron Mastrud,MIA,25,14,1,0,0,0,0,0,0,0,,0,,0,0,,0,TE,,,105,
585,Jamie McCoy,PIT,25,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,TE,,,97,
586,Eric Olsen,NOR,24,16,4,0,0,0,0,0,0,0,,0,0,0,0,,0,TE,,,93,
587,Charles Brown,NOR,25,10,3,0,0,0,0,0,0,0,,0,0,0,0,,0,TE,,,120,
588,Sean Locklear,NYG,31,12,10,0,0,0,0,0,0,0,,0,0,0,0,,0,TE,,,99,
589,Martin Rucker,KAN,27,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,103,
590,Clark Harris,CIN,28,16,0,0,0,0,0,0,0,0,,0,,0,0,,0,TE,,,111,
591,Adrien Robinson,NYG,23,2,0,0,0,0,0,0,0,0,,0,,0,0,,0,TE,,,116,
592,Brandon Barden,TEN,23,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,TE,,,98,
593,Mike Leach,ARI,36,16,0,0,0,0,0,0,0,0,,0,,0,0,,0,TE,,,100,
594,Will Beatty,NYG,27,16,15,0,0,0,0,0,0,0,,0,1,0,0,,0,TE,,,92,
595,Tony Hills,IND,28,6,1,0,0,0,0,0,0,0,,0,0,0,0,,0,TE,,,119,
596,Julius Thomas,DEN,24,4,0,0,0,0,0,0,0,0,,0,,0,0,,0,TE,,,112,
597,Billy Bajema,BAL,30,8,1,0,0,0,0,0,0,0,,0,1,0,0,,0,TE,,,95,
598,Kory Sperry,ARI,27,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,TE,,,117,
599,Josh Vaughan,ATL,26,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,192,
600,Michael Smith,TAM,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,RB,,,186,
601,Vincent Brown,SDG,23,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,197,
602,Lonyae Miller,BAL,24,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,172,
603,Chris Polk,PHI,23,7,0,0,0,0,0,0,0,0,,0,0,0,0,,0,RB,,,190,
604,Armond Smith,CAR,26,4,0,0,0,0,0,0,3,0,0.00,0,0,0,0,,0,RB,,,197,
605,Owen Marecic,CLE,24,10,2,0,0,0,0,0,0,0,,0,5,0,0,,0,RB,,,191,
606,Javarris James,ARI,25,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,196,
607,Jerrell Jackson,JAX,22,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,WR,,,203,
608,Kassim Osgood,DET,32,16,0,0,0,0,0,0,0,0,,0,0,0,0,,0,WR,,,219,
609,Patrick Turner,NYJ,25,2,0,0,0,0,0,0,0,0,,0,5,0,0,,0,WR,,,222,
610,Joe Anderson,CHI,24,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,WR,,,216,
611,Deon Butler,SEA,26,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,WR,,,204,
612,A.J. Jenkins,SFO,23,3,0,0,0,0,0,0,0,0,,0,1,0,0,,0,WR,,,208,
613,Roscoe Parrish,TAM,30,13,0,0,0,0,0,0,0,0,,0,0,0,0,,0,WR,,,221,
614,Mike Brown,JAX,23,2,1,0,0,0,0,0,0,0,,0,1,0,0,,0,WR,,,198,
615,David Gettis,CAR,25,2,0,0,0,0,0,0,0,0,,0,,0,0,,0,WR,,,200,
616,Marcus Easley,BUF,26,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,WR,,,223,
617,David Douglas,TAM,23,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,WR,,,227,
618,Shelley Smith,STL,25,15,8,0,0,0,0,0,0,0,,0,0,0,0,,0,WR,,,199,
619,John Conner,2TM,25,5,2,0,0,0,0,0,0,0,,0,2,0,0,,0,RB,,,193,
620,Darren Evans,TEN,24,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,,173,
621,Javarris Williams,WAS,26,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,178,
622,Patrick DiMarco,KAN,23,5,4,0,0,0,0,0,0,0,,0,1,0,0,,0,RB,,,189,
623,Tyler Clutts,HOU,28,16,0,0,0,0,0,0,0,0,,0,0,0,0,,0,RB,,,177,
624,Allen Bradford,SEA,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,RB,,,194,
625,Jerome Harrison,DET,29,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,188,
626,Tony Fiammetta,NWE,26,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,184,
627,Antone Smith,ATL,27,13,0,0,0,0,0,0,0,0,,0,1,0,0,,0,RB,,,179,
628,Emil Igwenagu,PHI,23,3,1,0,0,0,0,0,0,0,,0,0,0,0,,0,RB,,,182,
629,Brandon Saine,GNB,24,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,RB,,,175,
630,Terrance Ganaway,STL,24,3,0,0,0,0,0,0,0,0,,0,,0,0,,0,RB,,,195,
631,Devin Moore,DET,27,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,176,
632,Ryan Torain,NYG,26,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,RB,,,185,
633,Jahvid Best,DET,23,,,0,0,0,0,0,0,0,,0,,0,0,,0,,,,187,
634,James Develin,NWE,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,RB,,,180,
635,Ted Ginn,SFO,27,13,0,0,0,0,0,0,1,7,7.00,0,2,2,1,0.50,0,WR,-1,,234,
636,Dedrick Epps,NYJ,24,3,0,0,0,0,0,0,0,0,,0,1,1,9,9.00,0,TE,-1,,126,
637,Brock Osweiler,DEN,22,5,0,2,4,12,0,0,8,-13,-1.63,0,0,0,0,,0,QB,-1,,79,
638,Graham Harrell,GNB,27,4,0,2,4,20,0,0,4,-3,-0.75,0,0,0,0,,0,QB,-2,,80,
639,Josh Johnson,CLE,26,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,QB,-2,,81,
640,Brit Miller,STL,26,9,1,0,0,0,0,0,0,0,,0,4,0,0,,0,RB,-2,,198,
641,Ryan Mallett,NWE,24,4,0,1,4,17,0,1,8,-9,-1.13,0,0,0,0,,0,QB,-2,,82,
642,Joe Adams,CAR,23,9,0,0,0,0,0,0,3,13,4.33,0,1,1,7,7.00,0,WR,-4,,235,
