
,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy
457,Zach Potter,JAX,24,13,1,0,0,0,0,0,0,0,,0,7,3,24,8.00,0,TE,2,,82,
458,Matt Willis,DEN,26,6,0,0,0,0,0,0,0,0,,0,2,1,17,17.00,0,WR,2,,172,
459,Jerious Norwood,ATL,27,2,0,0,0,0,0,0,2,8,4.00,0,3,1,9,9.00,0,RB,2,,148,
460,Hank Baskett,2TM,28,8,0,0,0,0,0,0,0,0,,0,,1,18,18.00,0,WR,2,,171,
461,Michael Clayton,NYG,28,6,0,0,0,0,0,0,0,0,,0,4,2,19,9.50,0,WR,2,,170,
462,Byron Leftwich,PIT,30,1,0,5,7,42,0,0,0,0,,0,0,0,0,,0,QB,2,,68,
463,Fendi Onobun,STL,24,3,0,0,0,0,0,0,0,0,,0,4,2,15,7.50,0,TE,2,,84,
464,David Reed,BAL,23,13,0,0,0,0,0,0,1,15,15.00,0,1,0,0,,0,WR,2,,175,
465,Tony Pike,CAR,24,1,0,6,12,47,0,0,0,0,,0,0,0,0,,0,QB,2,,67,
466,Tyler Palko,KAN,27,2,0,4,6,35,0,0,2,5,2.50,0,0,0,0,,0,QB,2,,66,
467,Caleb Hanie,CHI,25,2,0,5,7,55,0,0,1,-1,-1.00,0,0,0,0,,0,QB,2,,65,
468,Chase Daniel,NOR,24,13,0,2,3,16,0,0,2,16,8.00,0,0,0,0,,0,QB,2,,64,
469,Quan Cosby,CIN,28,16,0,0,0,0,0,0,0,0,,0,2,2,16,8.00,0,WR,2,,174,
470,Brock Bolen,JAX,25,4,0,0,0,0,0,0,0,0,,0,3,1,15,15.00,0,RB,2,,149,
471,Thomas Clayton,2TM,26,3,0,0,0,0,0,0,7,17,2.43,0,0,0,0,,0,RB,2,,147,
472,Kareem Huggins,TAM,24,3,0,0,0,0,0,0,4,11,2.75,0,2,1,7,7.00,0,RB,2,,146,
473,Reagan Maui'a,ARI,26,15,4,0,0,0,0,0,0,0,,0,1,2,20,10.00,0,RB,2,,144,
474,Michael Bennett,OAK,32,7,0,0,0,0,0,0,2,11,5.50,0,2,2,9,4.50,0,RB,2,,143,
475,Moran Norris,SFO,32,16,11,0,0,0,0,0,3,0,0.00,0,9,4,20,5.00,0,RB,2,,145,
476,Brandon Banks,WAS,23,13,0,0,0,0,0,0,2,6,3.00,0,5,2,10,5.00,0,WR,2,,173,
477,Chad Pennington,MIA,34,1,1,1,2,19,0,0,0,0,,0,0,0,0,,0,QB,1,,70,
478,David Carr,SFO,31,1,0,5,13,67,0,1,0,0,,0,0,0,0,,0,QB,1,,73,
479,Chris Pressley,2TM,24,7,0,0,0,0,0,0,1,0,0.00,0,1,1,6,6.00,0,RB,1,,157,
480,Kyle Boller,OAK,29,5,0,2,4,25,0,1,7,18,2.57,0,0,0,0,,0,QB,1,,69,
481,Ben Hartsock,NYJ,30,16,7,0,0,0,0,0,0,0,,0,3,1,7,7.00,0,RB,1,,156,
482,Garrett Wolfe,CHI,26,16,0,0,0,0,0,0,4,8,2.00,0,0,0,0,,0,RB,1,,154,
483,Madison Hedgecock,NYG,29,4,3,0,0,0,0,0,0,0,,0,2,2,8,4.00,0,RB,1,,155,
484,Korey Hall,GNB,27,12,6,0,0,0,0,0,0,0,,0,1,1,9,9.00,0,RB,1,,153,
485,Chris Redman,ATL,33,2,0,4,6,20,0,0,1,-1,-1.00,0,0,0,0,,0,QB,1,,72,
486,Curtis Brinkley,SDG,25,3,0,0,0,0,0,0,2,11,5.50,0,0,0,0,,0,RB,1,,152,
487,Cedric Peerman,CIN,24,7,0,0,0,0,0,0,2,1,0.50,0,3,1,11,11.00,0,RB,1,,150,
488,Jordan Palmer,CIN,26,1,0,3,3,18,0,0,0,0,,0,0,0,0,,0,QB,1,,71,
489,Kregg Lumpkin,TAM,26,11,0,0,0,0,0,0,1,0,0.00,0,1,1,12,12.00,0,RB,1,,151,
490,Desmond Clark,CHI,33,5,0,0,0,0,0,0,0,0,,0,2,1,12,12.00,0,TE,1,,85,
491,Paul Hubbard,BUF,25,1,1,0,0,0,0,0,0,0,,0,3,1,8,8.00,0,WR,1,,180,
492,Manuel Johnson,DAL,24,2,0,0,0,0,0,0,0,0,,0,5,1,6,6.00,0,WR,1,,183,
493,Sam Aiken,CLE,30,3,0,0,0,0,0,0,0,0,,0,1,1,7,7.00,0,WR,1,,181,
494,Yamon Figurs,2TM,27,2,0,0,0,0,0,0,1,-4,-4.00,0,2,2,17,8.50,0,WR,1,,176,
495,Armanti Edwards,CAR,22,3,0,1,1,0,0,0,1,7,7.00,0,2,0,0,,0,WR,1,,182,
496,Kyle Williams,SFO,22,5,0,0,0,0,0,0,0,0,,0,1,1,8,8.00,0,WR,1,,179,
497,Kevin Curtis,MIA,32,2,0,0,0,0,0,0,1,6,6.00,0,2,1,6,6.00,0,WR,1,,177,
498,Carlton Mitchell,CLE,22,5,0,0,0,0,0,0,1,9,9.00,0,1,0,0,,0,WR,1,,178,
499,Richard Quinn,DEN,24,14,4,0,0,0,0,0,0,0,,0,2,1,9,9.00,0,TE,1,,88,
500,Tory Humphrey,NOR,27,6,2,0,0,0,0,0,0,0,,0,2,1,12,12.00,0,TE,1,,86,
501,Erik Lorig,TAM,24,9,1,0,0,0,0,0,0,0,,0,2,1,10,10.00,0,TE,1,,87,
502,Scott Chandler,2TM,25,13,1,0,0,0,0,0,0,0,,0,,1,8,8.00,0,TE,1,,89,
503,Alex Smith,CLE,28,3,1,0,0,0,0,0,0,0,,0,1,1,6,6.00,0,TE,1,,90,
504,Arnaz Battle,PIT,30,15,0,0,0,0,0,0,0,0,,0,2,0,0,,0,WR,,,203,
505,Darius Reynaud,NYG,26,9,0,0,0,0,0,0,0,0,,0,0,0,0,,0,WR,,,197,
506,Marcus Smith,BAL,25,14,0,0,0,0,0,0,0,0,,0,0,0,0,,0,WR,,,187,
507,Brian Clark,DET,27,4,0,0,0,0,0,0,0,0,,0,1,0,0,,0,WR,,,192,
508,Gary Barnidge,CAR,25,16,3,0,0,0,0,0,0,0,,0,9,0,0,,0,WR,,,193,
509,John Matthews,JAX,24,3,0,0,0,0,0,0,0,0,,0,1,0,0,,0,WR,,,199,
510,Jesse Holley,DAL,26,12,0,0,0,0,0,0,0,0,,0,0,0,0,,0,WR,,,206,
511,Chris Brooks,IND,23,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,WR,,,202,
512,Montell Owens*,JAX,26,16,0,0,0,0,0,0,0,0,,0,0,0,0,,0,RB,,,165,
513,DeShawn Wynn,2TM,27,7,0,0,0,0,0,0,0,0,,0,,0,0,,0,RB,,,182,
514,Joique Bell,2TM,24,8,0,0,0,0,0,0,0,0,,0,,0,0,,0,RB,,,176,
515,Andre Brown,4TM,24,4,0,0,0,0,0,0,2,-1,-0.50,0,,0,0,,0,RB,,,184,
516,Devin Moore,IND,25,4,0,0,0,0,0,0,2,-2,-1.00,0,0,0,0,,0,RB,,,185,
517,Antone Smith,ATL,25,9,0,0,0,0,0,0,1,-3,-3.00,0,1,0,0,,0,RB,,,186,
518,Matt Slater,NWE,25,15,0,0,0,0,0,0,0,0,,0,1,0,0,,0,WR,,,208,
519,Kenny Moore,IND,25,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,WR,,,210,
520,Dorin Dickerson,HOU,22,7,0,0,0,0,0,0,0,0,,0,,0,0,,0,WR,,,211,
521,George Wilson,BUF,29,16,2,0,0,0,0,0,0,0,,0,0,0,0,,0,WR,,,191,
522,Onrea Jones,ARI,27,2,0,0,0,0,0,0,0,0,,0,,0,0,,0,WR,,,198,
523,Dominique Curry,STL,23,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,WR,,,207,
524,Demetrius Williams,CLE,27,2,0,0,0,0,0,0,0,0,,0,2,0,0,,0,WR,,,196,
525,Matthew Mulligan,NYJ,25,13,1,0,0,0,0,0,0,0,,0,1,0,0,,0,TE,,,97,
526,Jake Ballard,NYG,23,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,TE,,,95,
527,Lydon Murtha,MIA,25,8,4,0,0,0,0,0,0,0,,0,0,0,0,,0,TE,,,99,
528,Joe Zelenka,ATL,34,16,0,0,0,0,0,0,0,0,,0,,0,0,,0,TE,,,121,
529,Rusty Smith,TEN,23,2,1,20,40,200,0,4,0,0,,0,0,0,0,,0,QB,,,74,
530,Dan Orlovsky,HOU,27,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,QB,,,75,
531,Billy Volek,SDG,34,3,0,1,1,8,0,0,6,-5,-0.83,0,0,0,0,,0,QB,,,76,
532,Sage Rosenfels,NYG,32,12,0,0,0,0,0,0,3,-3,-1.00,0,0,0,0,,0,QB,,,77,
533,Darcy Johnson,STL,27,4,2,0,0,0,0,0,0,0,,0,2,0,0,,0,TE,,,102,
534,Jeron Mastrud,MIA,23,8,2,0,0,0,0,0,0,0,,0,1,0,0,,0,TE,,,115,
535,Derek Schouman,STL,25,4,0,0,0,0,0,0,0,0,,0,,0,0,,0,TE,,,120,
536,Dedrick Epps,MIA,22,3,0,0,0,0,0,0,0,0,,0,,0,0,,0,WR,,,201,
537,Elbert Mack,TAM,24,12,0,0,0,0,0,0,0,0,,0,0,0,0,,0,WR,,,188,
538,Taj Smith,IND,27,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,WR,,,194,
539,Alfonso Smith,ARI,23,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,RB,,,180,
540,Gary Banks,SDG,29,2,2,0,0,0,0,0,0,0,,0,3,1,2,2.00,0,WR,,,185,
541,Zach Strief,NOR,27,14,2,0,0,0,0,0,0,0,,0,1,0,0,,0,TE,,,108,
542,Shawn Andrews,NYG,28,13,7,0,0,0,0,0,0,0,,0,0,0,0,,0,TE,,,114,
543,Duke Calhoun,NYG,23,9,0,0,0,0,0,0,0,0,,0,2,1,4,4.00,0,WR,,,184,
544,Brodie Croyle,KAN,27,2,1,8,19,38,0,1,0,0,,0,0,0,0,,0,QB,,,78,
545,Deon Anderson,DAL,27,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,RB,,,177,
546,Jeff Cumberland,NYJ,23,1,0,0,0,0,0,0,0,0,,0,2,1,3,3.00,0,TE,,,92,
547,Anthony McCoy,SEA,23,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,TE,,,112,
548,Michael Otto,TEN,27,11,1,0,0,0,0,0,0,0,,0,,0,0,,0,TE,,,119,
549,Clark Harris,CIN,26,16,0,0,0,0,0,0,0,0,,0,,0,0,,0,TE,,,106,
550,Daniel Coats,2TM,26,10,0,0,0,0,0,0,0,0,,0,,0,0,,0,TE,,,98,
551,Russ Hochstein,DEN,33,16,6,0,0,0,0,0,0,0,,0,0,0,0,,0,TE,,,116,
552,Chris Chester,BAL,27,14,14,0,0,0,0,0,0,0,,0,0,0,0,,0,TE,,,105,
553,Brian Jennings,SFO,34,16,0,0,0,0,0,0,0,0,,0,,0,0,,0,TE,,,113,
554,Derrick Townsel,HOU,22,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,WR,,,195,
555,Dennis Roland,CIN,27,16,12,0,0,0,0,0,0,0,,0,0,0,0,,0,TE,,,101,
556,Marc Mariani*,TEN,23,16,0,0,0,0,0,0,0,0,,0,2,0,0,,0,WR,,,190,
557,John Nalbone,MIA,24,2,0,0,0,0,0,0,0,0,,0,,0,0,,0,TE,,,110,
558,Garrett Graham,HOU,24,6,0,0,0,0,0,0,0,0,,0,,0,0,,0,TE,,,117,
559,Rex Hadnot,ARI,28,11,1,0,0,0,0,0,0,0,,0,0,0,0,,0,TE,,,103,
560,Ernest Wilford,JAX,31,2,0,0,0,0,0,0,0,0,,0,2,1,3,3.00,0,TE,,,91,
561,Dennis Pitta,BAL,25,11,0,0,0,0,0,0,0,0,,0,5,1,1,1.00,0,TE,,,93,
562,Mike Leach,ARI,34,16,0,0,0,0,0,0,0,0,,0,0,0,0,,0,TE,,,104,
563,Colin Cloherty,SFO,23,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,TE,,,100,
564,Wayne Hunter,NYJ,29,14,4,0,0,0,0,0,0,0,,0,0,0,0,,0,TE,,,109,
565,Tony Moll,BAL,27,16,3,0,0,0,0,0,0,0,,0,,0,0,,0,TE,,,94,
566,Jacques McClendon,IND,23,4,0,0,0,0,0,0,0,0,,0,,0,0,,0,TE,,,107,
567,Martin Rucker,DAL,25,5,1,0,0,0,0,0,0,0,,0,0,0,0,,0,TE,,,118,
568,Adam Koets,NYG,26,8,4,0,0,0,0,0,0,0,,0,0,0,0,,0,TE,,,96,
569,Justin Snow,IND,34,16,0,0,0,0,0,0,0,0,,0,0,0,0,,0,TE,,,111,
570,Devin Thomas,3TM,24,9,0,0,0,0,0,0,0,0,,0,,0,0,,0,WR,,,205,
571,Jeremy Horne,KAN,24,3,0,0,0,0,0,0,0,0,,0,1,0,0,,0,WR,,,209,
572,Charly Martin,CAR,26,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,WR,,,186,
573,Spencer Havner,2TM,27,6,0,0,0,0,0,0,0,0,,0,0,0,0,,0,RB,,,166,
574,Andre' Anderson,BUF,22,2,0,0,0,0,0,0,0,0,,0,,0,0,,0,RB,,,164,
575,Jerome Johnson,ARI,25,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,RB,,,168,
576,Marquis Johnson,STL,22,2,0,0,0,0,0,0,0,0,,0,,0,0,,0,RB,,,161,
577,Jalen Parmele,BAL,25,16,0,0,0,0,0,0,0,0,,0,0,0,0,,0,RB,,,174,
578,Chris Henry,SEA,25,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,RB,,,172,
579,John Paul Foschi,CIN,28,2,1,0,0,0,0,0,0,0,,0,,0,0,,0,RB,,,175,
580,Brit Miller,STL,24,9,2,0,0,0,0,0,0,0,,0,0,0,0,,0,RB,,,171,
581,Lonyae Miller,DAL,22,4,0,0,0,0,0,0,0,0,,0,,0,0,,0,RB,,,179,
582,Britt Davis,DEN,24,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,WR,,,189,
583,Dan Skuta,CIN,24,16,1,0,0,0,0,0,0,0,,0,0,0,0,,0,RB,,,178,
584,Billy Latsko,SDG,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,RB,,,167,
585,Chad Simpson,WAS,25,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,RB,,,162,
586,Victor Cruz,NYG,24,3,0,,,,,,,,,,,,,,,WR,,,212,
587,Courtney Roby,NOR,27,13,0,0,0,0,0,0,0,0,,0,0,0,0,,0,WR,,,200,
588,Lex Hilliard,MIA,26,16,0,0,0,0,0,0,0,0,,0,2,1,3,3.00,0,RB,,,158,
589,Larry Johnson,WAS,31,2,0,0,0,0,0,0,5,2,0.40,0,0,0,0,,0,RB,,,160,
590,Jehuu Caulcrick,BUF,27,2,0,0,0,0,0,0,1,2,2.00,0,0,0,0,,0,RB,,,159,
591,Rashawn Jackson,CAR,23,2,1,0,0,0,0,0,0,0,,0,0,0,0,,0,RB,,,163,
592,Ken Hamlin,2TM,29,9,0,0,0,0,0,0,0,0,,0,0,0,0,,0,RB,,,169,
593,Kion Wilson,SDG,24,14,6,0,0,0,0,0,0,0,,0,9,0,0,,0,RB,,,181,
594,Clifton Smith,2TM,25,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,RB,,,183,
595,Chauncey Washington,STL,25,1,0,0,0,0,0,0,0,0,,0,,0,0,,0,RB,,,170,
596,Leonard Weaver,PHI,28,1,0,0,0,0,0,0,1,0,0.00,0,0,0,0,,0,RB,,,173,
597,Levi Brown,BUF,23,1,0,2,3,24,0,1,0,0,,0,0,0,0,,0,QB,-1,,79,
598,Brian Brohm,BUF,25,1,1,10,23,106,0,3,0,0,,0,0,0,0,,0,QB,-2,,80,
599,Todd Collins,CHI,39,2,1,10,27,68,0,5,0,0,,0,0,0,0,,0,QB,-7,,81,
