
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
154,Tyler Brayton,IND,32,16,1,2.0,,,,,,,,,,,15,12,
155,Steve Breaston,KAN,28,16,13,,,,,,,,,,,,1,0,
156,Drew Brees*,NOR,32,16,16,,,,,,,0,1,0,-15,0,2,0,
157,Josh Brent,DAL,23,11,0,,,,,,,,,,,,4,2,
158,Lance Briggs*,CHI,31,16,16,,1,0,0,0,4,2,0,0,0,0,86,19,
159,Dezmon Briscoe,TAM,22,16,2,,,,,,,,,,,,3,0,
160,Mike Brisiel,HOU,28,13,13,,,,,,,,,,,,1,1,
161,Kenny Britt,TEN,23,3,3,,,,,,,0,1,0,0,0,1,0,
162,Raheem Brock,SEA,33,16,0,3.0,,,,,,1,0,0,0,0,16,12,
163,Tramaine Brock,SFO,23,11,0,,2,18,0,18,4,,,,,,5,0,
164,Richie Brockel,CAR,25,11,2,,,,,,,,,,,,1,0,
165,Mason Brodine,OAK,23,2,0,,,,,,,,,,,,1,0,
166,Keith Brooking,DAL,36,16,3,,0,0,0,0,2,,,,,,34,16,
167,Ahmad Brooks,SFO,27,16,16,7.0,0,0,0,0,3,1,0,0,0,0,35,15,
168,Antonio Brown*,PIT,23,16,3,,,,,,,,,,,,3,0,
169,C.C. Brown,JAX,28,2,0,,,,,,,,,,,,2,1,
170,Chykie Brown,BAL,25,7,0,,0,0,0,0,1,,,,,,4,0,
171,Curtis Brown,PIT,23,12,0,,,,,,,1,0,0,0,0,11,3,
172,Donald Brown,IND,24,16,2,,,,,,,,,,,,1,0,
173,Everette Brown,SDG,24,3,0,,,,,,,,,,,,2,0,
174,Jalil Brown,KAN,24,14,0,,,,,,,0,1,1,0,0,7,1,
175,Jammal Brown,WAS,30,13,12,,,,,,,,,,,,1,0,
176,Jason Brown,STL,28,14,14,,,,,,,0,0,1,0,0,2,0,
177,Josh Brown,STL,32,16,0,,,,,,,,,,,,1,0,
178,Levi Brown,ARI,27,16,16,,,,,,,0,0,1,0,0,2,0,
179,Ronnie Brown,PHI,30,16,2,,,,,,,0,1,0,0,0,2,0,
,,,,Games,Games,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Sacks &amp; Tackles,Sacks &amp; Tackles,
Rk,Player,Tm,Age,G,GS,Sk,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Tkl,Ast,Sfty
180,Sergio Brown,NWE,23,15,3,,1,2,0,2,1,,,,,,28,9,
181,Sheldon Brown,CLE,32,16,16,,2,0,0,0,13,1,0,1,0,0,38,10,
182,Stevie Brown,IND,24,8,0,,,,,,,,,,,,0,1,
183,Tarell Brown,SFO,26,16,16,,4,15,0,11,16,,,,,,36,4,
184,Titus Brown,CLE,25,10,0,1.0,,,,,,,,,,,1,1,
185,Vincent Brown,SDG,22,14,4,,,,,,,,,,,,1,0,
186,Brandon Browner*,SEA,27,16,16,,6,220,2,94,23,,,,,,51,3,
187,David Bruton,DEN,24,15,1,,0,0,0,0,3,,,,,,15,6,
188,Desmond Bryant,OAK,26,16,10,5.0,0,0,0,0,1,1,0,0,0,0,30,5,
189,Dez Bryant,DAL,23,15,13,,,,,,,0,3,1,0,0,2,0,
190,Red Bryant,SEA,27,16,16,1.0,2,25,1,20,3,,,,,,20,12,
191,David Buehler,DAL,24,4,0,,,,,,,,,,,,0,1,
192,Bryan Bulaga,GNB,22,12,12,,,,,,,0,0,1,0,0,,,
